Date,Open,High,Low,Close,C Simple 5,10,25,75,200,Volume,Simple 5,10,25,75,
24/01/2019,69.25,69.75,67.75,68.25,68.6,68.17,65.88,64.36, ,37020899,25367154,32128736,25495687,24483133,
25/01/2019,68.25,68.75,68,68.5,68.6,68.17,66.07,64.43, ,12257765,24586553,27462999,25083287,24329512,
28/01/2019,68.75,69.25,68.5,68.5,68.6,68.2,66.23,64.5, ,22108957,26488683,26380434,25354305,24335049,
29/01/2019,68.5,69,68.25,68.75,68.65,68.42,66.4,64.59, ,14657730,26003417,24153228,25010442,24243997,
30/01/2019,69.25,69.75,68.75,69.75,68.75,68.63,66.59,64.69, ,20146768,21238424,23145354,24878065,24251261,
31/01/2019,70,70,68.75,69,68.9,68.75,66.84,64.77, ,30475735,19929391,22648273,25273420,24483493,
01/02/2019,69,70,68.75,69.75,69.15,68.88,67.07,64.87, ,24704735,22418785,23502669,25780594,24301569,
04/02/2019,69.75,70,69,69.25,69.3,68.95,67.31,64.94, ,12623740,20521742,23505212,25334090,24199866,
05/02/2019,69,70,69,70,69.55,69.1,67.54,65.03, ,10038834,19597962,22800690,25185108,24105013,
06/02/2019,70,70.5,69.5,69.5,69.5,69.13,67.75,65.12, ,18638222,19296253,20267339,25529717,24112224,
07/02/2019,69.75,70.25,68.75,69,69.5,69.2,67.97,65.21, ,22698015,17740709,18835050,25734072,24007783,
08/02/2019,68.75,69.25,68,69,69.35,69.25,68.15,65.32, ,34892761,19778314,21098550,26609249,23678123,
11/02/2019,68.5,68.75,68,68,69.1,69.2,68.3,65.41, ,15421601,20337887,20429814,26291898,23641336,
12/02/2019,67.75,68.5,67.5,68,68.7,69.13,68.43,65.5, ,19993683,22328856,20963409,26220847,23479402,
13/02/2019,68.5,69.25,68.25,69,68.6,69.05,68.55,65.6, ,15597618,21720736,20508494,25486483,23084485,
14/02/2019,69,69.25,68.5,68.75,68.55,69.03,68.66,65.7, ,9255584,19032249,18386479,24191964,22892096,
15/02/2019,68.5,68.5,67,67.25,68.2,68.78,68.61,65.77, ,34178231,18889343,19333829,23202488,22918026,
18/02/2019,67.5,67.75,67,67,68,68.55,68.56,65.83, ,19687444,19742512,20040199,22672602,23025231,
20/02/2019,67.75,68.75,67.25,68.5,68.1,68.4,68.64,65.89, ,28013169,21346409,21837633,22315937,22789778,
21/02/2019,68.75,69,68.25,68.5,68,68.3,68.67,65.95, ,16466515,21520189,21620462,21765577,22630675,
22/02/2019,68.25,69.5,68.25,68.75,68,68.28,68.71,66.01, ,25715623,24812196,21922223,21376340,22637536,
25/02/2019,69,69.5,68.5,69,68.35,68.28,68.73,66.07, ,20401199,22056790,20473067,21545957,22733604,
26/02/2019,68.75,69.25,68.5,69,68.75,68.38,68.75,66.12, ,17089059,21537113,20639813,21725587,22197733,
27/02/2019,68.75,69,68.5,68.75,68.8,68.45,68.76,66.17, ,12274987,18389477,19867943,21533224,21993845,
28/02/2019,68.5,68.5,67.25,67.5,68.6,68.3,68.69,66.2, ,39480847,22992343,22256266,21353589,22087725,
01/03/2019,67.75,68.25,67.25,67.5,68.35,68.17,68.66,66.23, ,14091065,20667431,22739814,20436395,22116347,
04/03/2019,67.5,67.75,66.5,66.75,67.9,68.13,68.59,66.26, ,25477987,21682789,21869790,20965204,22314144,
05/03/2019,66.75,67.75,66,67.25,67.55,68.15,68.54,66.28, ,24970602,23259098,22398105,21079670,22430421,
06/03/2019,67.75,68.25,67.25,67.75,67.35,68.08,68.5,66.31, ,26976158,26199332,22294404,21572407,22605001,
07/03/2019,67.5,68,67.25,67.75,67.4,68,68.42,66.35, ,12073581,20717879,21855111,21249480,22619451,
08/03/2019,67.75,68.25,67.25,67.75,67.45,67.9,68.37,66.4, ,10889647,20077595,20372513,20466036,22629997,
11/03/2019,67.75,68,67.25,67.75,67.65,67.78,68.29,66.43, ,12832394,17548476,19615633,19991143,22592885,
12/03/2019,67.75,68,67,67,67.6,67.58,68.2,66.47, ,10681545,14690665,18974881,19913455,22522875,
13/03/2019,67.25,68.75,67,68.75,67.8,67.58,68.15,66.55, ,27689632,14833360,20516346,20619487,22418249,
14/03/2019,69,69.25,68.5,69,68.05,67.72,68.13,66.65, ,18865866,16191817,18454848,20628593,22076230,
15/03/2019,69,69.25,68,68,68.1,67.78,68.09,66.71, ,23506710,18715229,19396412,20660940,22066293,
18/03/2019,67.75,68,66.75,67,67.95,67.8,68.01,66.76, ,25105452,21169841,19359159,20269448,22225514,
19/03/2019,67,68.5,67,67.75,68.1,67.85,68,66.82, ,19658758,22965284,18827974,20438934,22346747,
20/03/2019,67.75,68.25,67.5,67.5,67.85,67.83,67.98,66.86, ,13943768,20216111,17524735,20196938,22320471,
21/03/2019,67.75,68.25,67.5,67.75,67.6,67.83,67.93,66.9, ,12650769,18973091,17582454,20079064,22304279,
22/03/2019,67.75,68.5,67.75,68.25,67.65,67.88,67.91,66.96, ,17858950,17843539,18279384,20423198,22164657,
25/03/2019,67.75,68,67,67.75,67.8,67.88,67.93,66.99, ,21997717,17221992,19195917,19935978,22017640,
26/03/2019,67.5,67.75,67.25,67.75,67.8,67.95,67.96,67.01, ,18308442,16951929,19958606,19880818,21940749,
27/03/2019,68,68,67.25,67.5,67.8,67.83,67.92,67.04, ,15729676,17309111,18762611,19389478,21782931,
28/03/2019,67.5,68.25,67.25,67.75,67.8,67.7,67.89,67.07, ,18165435,18412044,18692568,19457435,21913663,
29/03/2019,68,68.25,67.5,68,67.75,67.7,67.86,67.13, ,14568111,17753876,17798708,19011534,21721436,
01/04/2019,68.25,68.25,67.25,67.25,67.65,67.72,67.79,67.17, ,15921971,16538727,16880360,18832365,21535043,
02/04/2019,67.5,68,67.25,67.5,67.6,67.7,67.73,67.23, ,17980619,16473162,16712546,18868028,21469001,
03/04/2019,67.75,68,67.25,67.5,67.6,67.7,67.68,67.29, ,13178048,15962837,16635974,18904150,21456189,
04/04/2019,67.5,67.75,67,67.25,67.5,67.65,67.67,67.34, ,11839568,14697663,16554854,17798499,21419206,
05/04/2019,67.25,67.75,67,67.25,67.35,67.55,67.66,67.4, ,8207452,13425532,15589704,17563154,21165079,
09/04/2019,67.25,68.25,67.25,68,67.5,67.58,67.71,67.46, ,17680891,13777316,15158021,17251270,21099921,
10/04/2019,68,68.5,67.75,68.25,67.65,67.63,67.75,67.51, ,16404565,13462105,14967634,16908629,21114201,
11/04/2019,68.5,68.5,68,68,67.75,67.67,67.76,67.55, ,8496061,12525707,14244272,16169425,20917425,
12/04/2019,68.25,68.5,67.75,68.25,67.95,67.72,67.78,67.6, ,13817365,12921267,13809465,16239176,20788907,
17/04/2019,68.25,68.5,68,68.5,68.2,67.78,67.81,67.67, ,12885300,13856836,13641184,16319003,20686153,
18/04/2019,68.5,68.75,68,68.75,68.35,67.92,67.85,67.74, ,26836011,15687860,14732588,16879147,20883628,
19/04/2019,68.75,69.5,68.5,69,68.5,68.08,67.93,67.81, ,31359626,18678873,16070489,17706271,20984605,
22/04/2019,69.25,69.5,68.5,68.5,68.6,68.17,67.92,67.87, ,18730490,20725758,16625733,17347905,21050833,
23/04/2019,68.5,69,68.5,68.5,68.65,68.3,67.9,67.93, ,11370685,20236422,16578845,17048098,21068802,
24/04/2019,68.5,68.75,68,68.25,68.6,68.4,67.91,67.99, ,8079809,19275324,16566080,16431022,20942011,
25/04/2019,68.25,68.75,68,68,68.45,68.4,67.95,68.04, ,14196083,16747339,16217600,15994647,20957781,
26/04/2019,68,68.5,67.75,68,68.25,68.38,67.96,68.09, ,13382873,13151988,15915430,15743611,20824815,
29/04/2019,68,68.5,68,68,68.15,68.38,67.98,68.13, ,8717428,11149376,15937567,15534558,20650781,
30/04/2019,68.25,68.75,68,68.5,68.15,68.4,68.01,68.16, ,17023096,12279858,16258140,15709451,20424999,
02/05/2019,68.75,69,68.5,68.75,68.25,68.42,68.03,68.2, ,17594847,14182865,16729095,15698887,20104683,
03/05/2019,68.75,69.25,68.75,69.25,68.5,68.47,68.09,68.21, ,11424593,13628567,15187953,15275962,19471476,
07/05/2019,68.75,69,68.5,68.5,68.6,68.42,68.12,68.21, ,13582967,13668586,13410287,15086943,19213454,
08/05/2019,68.25,68.75,68,68.25,68.65,68.4,68.15,68.24, ,13138352,14552771,12851073,14983290,18896235,
09/05/2019,68.25,68.5,67.5,67.75,68.5,68.33,68.15,68.24, ,19225473,14993246,13636552,15025691,18749568,
10/05/2019,68,68.25,67.5,67.75,68.3,68.28,68.14,68.24, ,13659005,14206078,14194472,14989327,18459067,
13/05/2019,67.75,68.25,67.5,68.25,68.1,68.3,68.18,68.23, ,12201210,14361401,13994984,14840497,18406273,
14/05/2019,67.75,68,67.5,68,68,68.3,68.2,68.23, ,16573192,14959446,14314016,14784200,18459271,
15/05/2019,68,68.25,67.5,67.5,67.85,68.25,68.2,68.21, ,11773897,14686555,14619663,14728034,18388469,
16/05/2019,67.5,68,67.25,68,67.9,68.2,68.23,68.2, ,15939303,14029321,14511284,14892023,18014704,
17/05/2019,68.25,68.25,67.25,67.25,67.8,68.05,68.23,68.18, ,21780279,15653576,14929827,15434936,17811495,
21/05/2019,67,67.5,66.25,66.75,67.5,67.8,68.18,68.16, ,28505176,18914369,16637885,15867907,18028127,
22/05/2019,67,67.5,66.5,66.75,67.25,67.63,68.12,68.14, ,14423705,18484472,16721959,15788673,17925657,
23/05/2019,66.75,67.25,66.25,66.75,67.1,67.47,68.07,68.11, ,26427223,21415137,18050846,16505920,18082584,
24/05/2019,66.25,66.5,65.25,65.75,66.65,67.28,67.97,68.06, ,42538362,26734949,20382135,17654759,18381139,
27/05/2019,65.75,66.5,64.5,66.5,66.5,67.15,67.89,68.02, ,52603782,32899650,24276613,19243499,18676179,
28/05/2019,66.25,67,66,67,66.55,67.03,67.82,67.99, ,43285636,35855742,27385056,19901484,18923925,
29/05/2019,66.75,67,66.25,66.5,66.5,66.88,67.72,67.95, ,13603393,35691679,27088076,19191234,18936987,
30/05/2019,67,67.25,66.25,66.5,66.45,66.78,67.64,67.9, ,16426745,33691584,27553360,19099085,19022159,
31/05/2019,66.5,67,62.75,63.75,66.05,66.35,67.45,67.83, ,154821637,56148239,41441594,24837123,20837938,
04/06/2019,64,65.25,63.75,65,65.75,66.13,67.32,67.77, ,55014022,56630287,44764968,26714491,21268818,
05/06/2019,65.75,65.75,64.5,64.75,65.3,65.92,67.19,67.72, ,28537809,53680721,44768231,27288160,21184085,
06/06/2019,64.75,65.5,64.5,65,65,65.75,67.07,67.68, ,24615051,55883053,45787366,27737447,21306664,
07/06/2019,65.25,66,65,66,64.9,65.67,66.99,67.65, ,20260899,56649884,45170734,28199186,21310227,
10/06/2019,66.25,66.75,65.75,66,65.35,65.7,66.89,67.61, ,35712488,32828054,44488146,28946762,21578425,
11/06/2019,66,66.75,65.5,66.25,65.6,65.67,66.79,67.58, ,25545199,26934289,41782288,29264776,21795620,
12/06/2019,66.25,66.75,66,66.5,65.95,65.63,66.68,67.57, ,9568380,23140403,38410562,29190527,21467489,
13/06/2019,66.25,67,66,66.5,66.25,65.63,66.6,67.56, ,16129961,21443385,38663219,29292407,21420056,
14/06/2019,66.5,66.75,66.25,66.75,66.4,65.65,66.54,67.54, ,11465401,19684286,38167085,29225489,21199419,
17/06/2019,66.75,67,66.25,66.5,66.5,65.92,66.49,67.51, ,14517503,15445289,24136671,29037170,21173432,
18/06/2019,66.25,68,66.25,68,66.85,66.22,66.5,67.5, ,49534665,20243182,23588736,30472197,21491019,
19/06/2019,68.75,74.75,68.25,73.75,68.3,67.13,66.72,67.56, ,322107737,82751053,52945728,42868458,25513773,
20/06/2019,74.25,75,73.5,74.25,69.85,68.05,66.97,67.63, ,78573627,95239787,58341586,45348475,26333567,
21/06/2019,74.5,75,74,74.5,71.4,68.9,67.25,67.71, ,55358303,104018367,61851326,47091851,26908012,
24/06/2019,75,76.25,75,75.5,73.2,69.85,67.55,67.82, ,55893214,112293509,63869399,48690008,27126843,
25/06/2019,75.5,75.75,74.75,75,74.6,70.72,67.86,67.92, ,42744633,110935503,65589342,49528582,27508891,
26/06/2019,74.5,74.75,73.5,74,74.65,71.47,68.15,68.01, ,59332115,58380378,70565716,50761660,27960279,
27/06/2019,74,74.5,73.75,74,74.6,72.22,68.44,68.1, ,26156327,47896918,71568353,51230964,27976089,
28/06/2019,73.75,74.25,73.5,73.5,74.4,72.9,68.71,68.18, ,25852400,41995738,73007052,51207972,27961105,
01/07/2019,74.25,74.5,74,74.25,74.15,73.67,69.05,68.27, ,25988021,36014699,74154104,50545958,28146631,
